"0x809b10","Name","Description","Use Screen","When Used","Item Type","Ability 1","Ability 2","Ability 3","Ability 4","Stat Boosts Address","Effectiveness Address","Uses","POW","Hit","Weight","Critical","Range","Price Per Use","Level","Icon","Effect ID","Damage Ddditional Effect","WEXP Gain","Debuffs","??","??"
"0x7B Dummy","0x403","0x4ab","0x0","0x7b","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",800,0,"0x8d","0x28","0x0",0,"0x0","0x0","0x0"
"0x7C Hoplon Guard","0x3f3","0x4a4","0x4dd","0x7c","0x9","0x8","0x80","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",5000,0,"0xdb","0x0","0x0",0,"0x0","0x0","0x0"
"0x7D Dummy","0x403","0x4ab","0x0","0x7d","0xc","0x0","0x2","0x0","0x0","0x0","0x0",15,0,0,0,0,"0x11",0,0,"0x8f","0x29","0x0",0,"0x0","0x0","0x0"
"0x7E Dummy","0x403","0x4ab","0x0","0x7e","0xc","0x0","0x2","0x0","0x0","0x0","0x0",15,0,0,0,0,"0x11",0,0,"0x90","0x2a","0x0",0,"0x0","0x0","0x0"
"0x7F Dummy","0x403","0x4ab","0x0","0x7f","0xc","0x0","0x2","0x0","0x0","0x0","0x0",15,0,0,0,0,"0x11",0,0,"0x91","0x2b","0x0",0,"0x0","0x0","0x0"
"0x80 Dummy","0x403","0x4ab","0x0","0x80","0xc","0x0","0x2","0x0","0x0","0x0","0x0",15,0,0,0,0,"0x11",0,0,"0x92","0x2c","0x0",0,"0x0","0x0","0x0"
"0x81 Shadowkiller","0x3a4","0x454","0x0","0x81","0x0","0x1","0x0","0x0","0x0","0x0","MonsterEffectiveness|IsPointer",60,5,90,5,5,"0x11",0,1,"0x93","0x0","0x0",1,"0x0","0x0","0x0"
"0x82 Bright Lance","0x3a5","0x455","0x0","0x82","0x1","0x1","0x0","0x0","0x0","0x0","MonsterEffectiveness|IsPointer",60,7,80,8,5,"0x11",0,1,"0x94","0x0","0x0",1,"0x0","0x0","0x0"
"0x83 Fiendcleaver","0x3a6","0x456","0x0","0x83","0x2","0x1","0x0","0x0","0x0","0x0","MonsterEffectiveness|IsPointer",60,8,75,10,5,"0x11",0,1,"0x95","0x0","0x0",1,"0x0","0x0","0x0"
"0x84 Beacon Bow","0x3a7","0x457","0x0","0x84","0x3","0x1","0x0","0x0","0x0","0x0","MonsterEffectiveness|IsPointer",60,6,85,5,5,"0x22",0,1,"0x96","0x0","0x0",1,"0x0","0x0","0x0"
"0x85 Sieglinde","0x366","0x416","0x0","0x85","0x0","0x11","0x0","0x4","0x0","0x88aef48","SacredWeaponEffectiveness|IsPointer",30,16,90,9,0,"0x11",0,0,"0xb0","0x0","0x0",1,"0x0","0x0","0x0"
"0x86 Battle Axe","0x388","0x439","0x0","0x86","0x2","0x1","0x0","0x0","0x0","0x0","0x0",20,13,60,15,5,"0x11",50,121,"0xb8","0x0","0x0",1,"0x0","0x0","0x0"
"0x87 Ivaldi","0x3b5","0x464","0x0","0x87","0x6","IsWeapon|IsMagic|Unsellable|Indestructible","0x0","0x0","0x0","0x88aef54","SacredWeaponEffectiveness|IsPointer",69,16,90,10,20,"0x12",0,"SRank","0xbb","0x0","0x0",1,"0x0","0x0","0x0"
"0x88 Master Seal","0x3f4","0x4a5","0x4de","0x88","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",20000,0,"0xd9","0x2d","0x0",0,"0x0","0x0","0x0"
"0x89 Metis's Tome","0x3f5","0x4a6","0x4df","0x89","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",0,0,"0xdc","0x2e","0x0",0,"0x0","0x0","0x0"
"0x8A Dummy","0x403","0x4ab","0x0","0x8a","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",20000,0,"0x9c","0x2f","0x0",0,"0x0","0x0","0x0"
"0x8B Sharp Claw","0x39d","0x44d","0x0","0x8b","0xb","0x9","0x4","0x0","0x0","0x0","0x0",0,14,65,14,0,"0x11",0,0,"0xd0","0x0","0x0",0,"0x0","0x0","0x0"
"0x8C Latona","0x3d1","0x480","0x4be","0x8c","0x4","0x14","0x0","0x0","0x0","0x0","0x0",3,0,100,5,0,"0xff",0,251,"0xc3","0x0","0x0",1,"0x0","0x0","0x0"
"0x8D Dragonspear","0x377","0x427","0x0","0x8d","0x1","0x1","0x0","0x0","0x0","0x0","DragonEffectiveness|IsPointer",30,10,70,8,0,"0x11",150,71,"0xb6","0x0","0x0",1,"0x0","0x0","0x0"
"0x8E Vidofnir","0x376","0x426","0x0","0x8e","0x1","0x11","0x0","0x0","0x0","0x88aef60","SacredWeaponEffectiveness|IsPointer",30,15,85,11,0,"0x11",0,251,"0xb5","0x0","0x0",1,"0x0","0x0","0x0"
"0x8F Naglfar","0x3bc","0x46b","0x0","0x8f","0x7","0xb","0x0","0x0","0x0","MizukiPrfStatBoosts|IsPointer","0x0",0,25,95,18,0,"0x12",0,251,"0xbd","0x0","0x0",1,"0x0","0x0","0x0"
"0x90 Wretched Air","0x397","0x447","0x4ac","0x90","0xb","0x9","0x4","0x2","0x0","0x88aef6c","0x0",0,10,100,0,0,"0x12",0,181,"0x79","0x0","0x0",0,"0x0","0x0","0x0"
"0x91 Audhulma","0x367","0x417","0x0","0x91","0x0","0x11","0x0","0x0","0x0","0x88aef78","SacredWeaponEffectiveness|IsPointer",30,18,85,9,0,"0x11",0,251,"0xb1","0x0","0x0",1,"0x0","0x0","0x0"
"0x92 Siegmund","0x375","0x425","0x0","0x92","0x1","0x11","0x0","0x8","0x0","0x88aef84","SacredWeaponEffectiveness|IsPointer",30,17,80,11,0,"0x11",0,0,"0xb4","0x0","0x0",1,"0x0","0x0","0x0"
"0x93 Garm","0x389","0x438","0x0","0x93","0x2","0x11","0x0","0x0","0x0","0x88aef90","SacredWeaponEffectiveness|IsPointer",30,20,75,13,0,"0x11",0,251,"0xb7","0x0","0x0",1,"0x0","0x0","0x0"
"0x94 Nidhogg","0x396","0x446","0x0","0x94","0x3","0x11","0x0","0x0","0x0","0x88aef9c","SacredWeaponEffectiveness|IsPointer",30,18,80,7,0,"0x22",0,251,"0xba","0x0","0x0",1,"0x0","0x0","0x0"
"0x95 Heavy Spear","0x378","0x428","0x0","0x95","0x1","0x1","0x0","0x0","0x0","0x0","ArmorEffectiveness|IsPointer",16,9,70,14,0,"0x11",75,31,"0xa7","0x0","0x0",1,"0x0","0x0","0x0"
"0x96 Short Spear","0x379","0x429","0x0","0x96","0x1","0x1","0x0","0x0","0x0","0x0","0x0",18,9,60,12,0,"0x12",50,71,"0xa8","0x0","0x0",1,"0x0","0x0","0x0"
"0x97 Ocean Seal","0x3f6","0x4a7","0x4e0","0x97","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",10000,0,"0xa9","0x30","0x0",0,"0x0","0x0","0x0"
"0x98 Lunar Brace","0x3f7","0x4a8","0x4e1","0x98","0x9","0x10","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",0,0,"0xd8","0x31","0x0",0,"0x0","0x0","0x0"
"0x99 Solar Brace","0x3f8","0x4a9","0x4e2","0x99","0x9","0x10","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",0,0,"0xd7","0x32","0x0",0,"0x0","0x0","0x0"
"0x9A 1 Gold","0x3f9","0x4a1","0x4da","0x9a","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",1,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0x9B 5 Gold","0x3fa","0x4a1","0x4da","0x9b","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",5,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0x9C 10 Gold","0x3fb","0x4a1","0x4da","0x9c","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",10,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0x9D 50 Gold","0x3fc","0x4a1","0x4da","0x9d","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",50,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0x9E 100 Gold","0x3fd","0x4a1","0x4da","0x9e","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",100,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0x9F 3,000 Gold","0x400","0x4a1","0x4da","0x9f","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",3000,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0xA0 5,000 Gold","0x401","0x4a1","0x4da","0xa0","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",5000,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0xA1 Wind Sword","0x368","0x418","0x0","0xa1","0x0","0x41","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",40,9,70,9,0,"0x12",200,121,"0xaa","0x0","0x0",1,"0x0","0x0","0x0"
"0xA2 Vulnerary","0x3e5","0x494","0x4d2","0xa2","0x9","0x0","0x0","0x0","0x0","0x0","0x0",60,0,0,0,0,"0x11",100,0,"0x6a","0x33","0x0",0,"0x0",20,"0x0"
"0xA3 Ballista Staff","0x3e5","0x494","0x4d2","0xa3","0x4","0x4","0x0","0x0","0x0","0x0","0x0",10,0,100,7,0,"0x10",150,31,"0x56","0x38","0x0",5,"0x0","0x0","0x0"
"0xA4 Unlock but it also opens chests","0x3e5","0x494","0x4d2","0xa4","0x4","0x4","0x0","0x0","0x0","0x0","0x0",10,0,100,7,0,"0x10",150,31,"0x56","0x39","0x0",5,"0x0","0x0","0x0"
"0xA5 Dance","0x3d2","0x481","0x4bf","0xa5","0xc","0x0","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",0,"0x0","0x0","0x0"
"0xA6 Nightmare","0x39c","0x44c","0x0","0xa6","0x4","0x4","0x0","0x0","0x0","0x88aefa8","0x0",1,0,70,8,0,"0x13",0,0,"0xc7","0x0","0x0",0,"0x0","0x0","0x0"
"0xA7 Stone Shard","0x399","0x449","0x4ae","0xa7","0xb","0x9","0x4","0x0","0x0","0x0","0x0",0,10,65,0,0,"0x11",0,0,"0x88","0x0","0x0",0,"0x0","0x0","0x0"
"0xA8 Demon Light","0x39a","0x44a","0x0","0xa8","0xb","0x9","0x4","0x0","0x0","0x88aefb4","0x0",0,15,60,0,0,"0x13",0,0,"0xc5","0x0","0x0",0,"0x0","0x0","0x0"
"0xA9 Ravager","0x39b","0x44b","0x0","0xa9","0xb","0x9","0x4","0x0","0x0","0x88aefc0","0x0",0,15,85,0,10,"0x11",0,0,"0xc6","0x0","0x0",0,"0x0","0x0","0x0"
"0xAA Dragonstone","0x398","0x448","0x4ad","0xaa","0xb","0x11","0x4","0x0","0x0","0x88aefcc","MonsterEffectiveness|IsPointer",50,16,100,0,15,"0x11",0,0,"0xc4","0x0","0x0",0,"0x0","0x0","0x0"
"0xAB Demon Surge","0x3c0","0x46f","0x0","0xab","0x7","0xb","0x0","0x0","0x0","0x0","0x0",0,11,80,10,0,"0x12",0,0,"0xc1","0x0","0x0",0,"0x0","0x0","0x0"
"0xAC Shadowshot","0x3c1","0x470","0x0","0xac","0x7","0x83","0x0","0x0","0x0","0x0","0x0",5,13,70,20,5,"0x3a",0,0,"0xc2","0x0","0x0",0,"0x0","0x0","0x0"
"0xAD Rotten Claw","0x39e","0x44e","0x0","0xad","0xb","0x9","0x4","0x0","0x0","0x0","0x0",0,7,80,8,0,"0x11",0,0,"0xd1","0x0","0x0",0,"0x0","0x0","0x0"
"0xAE Fetid Claw","0x39f","0x44f","0x0","0xae","0xb","0x9","0x4","0x0","0x0","0x0","0x0",0,12,75,10,0,"0x11",0,0,"0xd2","0x0","0x0",0,"0x0","0x0","0x0"
"0xAF Poison Claw","0x3a0","0x450","0x0","0xaf","0xb","0x9","0x4","0x0","0x0","0x0","0x0",0,6,65,10,0,"0x11",0,0,"0xd3","0x0","0x1",0,"0x0","0x0","0x0"
"0xB0 Lethal Talon","0x3a1","0x451","0x0","0xb0","0xb","0x9","0x4","0x0","0x0","0x0","0x0",0,10,60,12,0,"0x11",0,0,"0xd4","0x0","0x1",0,"0x0","0x0","0x0"
"0xB1 Fiery Fang","0x3a2","0x452","0x0","0xb1","0xb","0x9","0x4","0x0","0x0","0x0","0x0",0,5,90,5,0,"0x11",0,0,"0xd5","0x0","0x0",0,"0x0","0x0","0x0"
"0xB2 Hellfang","0x3a3","0x453","0x0","0xb2","0xb","0x9","0x4","0x0","0x0","0x0","0x0",0,13,80,8,0,"0x11",0,0,"0xd6","0x0","0x0",0,"0x0","0x0","0x0"
"0xB3 Evil Eye","0x3be","0x46d","0x0","0xb3","0x7","0xb","0x0","0x0","0x0","0x0","0x0",0,7,85,6,0,"0x12",0,0,"0xbe","0x0","0x0",0,"0x0","0x0","0x0"
"0xB4 Crimson Eye","0x3bf","0x46e","0x0","0xb4","0x7","0xb","0x0","0x0","0x0","0x0","0x0",0,14,70,13,5,"0x12",0,0,"0xbf","0x0","0x0",0,"0x0","0x0","0x0"
"0xB5 Stone","0x3bd","0x46c","0x0","0xb5","0x7","0x3","0x0","0x0","0x0","0x0","0x0",5,0,65,8,0,"0x13",0,0,"0xc0","0x0","0x5",5,"0x0","0x0","0x0"
"0xB6 Alacalibur","0x3ac","0x45b","0x0","0xb6","0x5","0x3","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",20,8,85,2,0,"0x12",55,121,"0x35","0x0","0x0",1,"0x0","0x0","0x0"
"0xB7 Juna Fruit","0x402","0x4aa","0x4e3","0xb7","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",0,0,"0xdd","0x36","0x0",0,"0x0","0x0","0x0"
"0xB8 150 Gold","0x3fe","0x4a1","0x4da","0xb8","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",150,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0xB9 200 Gold","0x3ff","0x4a1","0x4da","0xb9","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",200,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0xBA Black Gem","0x3ee","0x49d","0x0","0xba","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",30000,0,"0xc8","0x0","0x0",0,"0x0","0x0","0x0"
"0xBB Gold Gem","0x3ed","0x49c","0x0","0xbb","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",40000,0,"0xc9","0x0","0x0",0,"0x0","0x0","0x0"
"0xBC Dummy","0x403","0x4ab","0x0","0xbc","0x0","0x1","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xBD Dummy","0x403","0x4ab","0x0","0xbd","0x2","0x1","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xBE Dummy","0x403","0x4ab","0x0","0xbe","0x7","0x3","0x0","0x0","0x0","0x0","0x0",0,11,80,10,0,"0x12",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xBF Dummy","0x403","0x4ab","0x0","0xbf","0x7","0x3","0x0","0x0","0x0","0x0","0x0",0,11,80,10,0,"0x12",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC0 Dummy","0x403","0x4ab","0x0","0xc0","0x0","0x1","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC1 Dummy","0x403","0x4ab","0x0","0xc1","0x9","0x0","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC2 Dummy","0x403","0x4ab","0x0","0xc2","0x0","0x1","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC3 Dummy","0x403","0x4ab","0x0","0xc3","0x1","0x1","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC4 Dummy","0x403","0x4ab","0x0","0xc4","0x2","0x1","0x0","0x0","0x0","0x0","0x0",0,11,80,10,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC5 Dummy","0x403","0x4ab","0x0","0xc5","0x2","0x1","0x0","0x0","0x0","0x0","0x0",0,11,80,10,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC6 Dummy","0x403","0x4ab","0x0","0xc6","0x0","0x1","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC7 Dummy","0x403","0x4ab","0x0","0xc7","0x3","0x1","0x0","0x0","0x0","0x0","0x0",0,11,80,10,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC8 Dummy","0x403","0x4ab","0x0","0xc8","0x1","0x1","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xC9 Dummy","0x403","0x4ab","0x0","0xc9","0x6","0x3","0x0","0x0","0x0","0x0","0x0",0,11,80,10,0,"0x12",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xCA Dummy","0x403","0x4ab","0x0","0xca","0x7","0x3","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x12",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xCB Dummy","0x403","0x4ab","0x0","0xcb","0x7","0x3","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x12",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
"0xCC Dummy","0x403","0x4ab","0x0","0xcc","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",0,0,"0x9d","0x0","0x0",0,"0x0","0x0","0x0"
"0xCD Dummy","0x403","0x4ab","0x0","0xcd","0xc","0x0","0x0","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x12",0,0,"0x0","0x0","0x0",1,"0x0","0x0","0x0"
